	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	NNP	9	nsubj	1	Pierre	B-PERSON	1	1	Pierre	0
1	NNP	1	flat	2	Vinken	E-PERSON	1	2	Vinken	0
2	,	1	punct	3	,	O	1	3	,	0
3	CD	5	nummod	4	61	B-DATE	1	4	61	0
4	NNS	6	obl:npmod	5	year	I-DATE	1	5	years	0
5	JJ	1	amod	6	old	E-DATE	1	6	old	0
6	,	9	punct	7	,	O	1	7	,	0
7	MD	9	aux	8	will	O	1	8	will	0
8	VB	0	root	9	join	O	1	9	join	0
9	DT	11	det	10	the	O	1	10	the	0
10	NN	9	obj	11	board	O	1	11	board	0
11	IN	15	case	12	as	O	1	12	as	0
12	DT	15	det	13	a	O	1	13	a	0
13	JJ	15	amod	14	nonexecutive	O	1	14	nonexecutive	0
14	NN	9	obl	15	director	O	1	15	director	0
15	NNP	15	appos	16	Nov.	B-DATE	1	16	Nov.	0
16	CD	16	nummod	17	29	E-DATE	1	17	29	0
17	.	9	punct	18	.	O	1	18	.	0
18	NNP	4	nsubj	19	Mr.	O	2	1	Mr.	0
19	NNP	1	flat	20	Vinken	S-PERSON	2	2	Vinken	0
20	VBZ	4	cop	21	be	O	2	3	is	0
21	NN	0	root	22	chairman	O	2	4	chairman	0
22	IN	7	case	23	of	O	2	5	of	0
23	NNP	7	compound	24	Elsevier	B-ORG	2	6	Elsevier	0
24	NNP	4	nmod	25	N.V.	E-ORG	2	7	N.V.	0
25	,	7	punct	26	,	O	2	8	,	0
26	DT	12	det	27	the	O	2	9	the	0
27	JJ	12	amod	28	dutch	S-NORP	2	10	Dutch	0
28	NN	12	compound	29	publishing	O	2	11	publishing	0
29	NN	7	appos	30	group	O	2	12	group	0
30	.	4	punct	31	.	O	2	13	.	0
