	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	NNP	5	nsubj:pass	1	Clark	B-PERSON	1	1	Clark	0
1	NNP	1	flat	2	J.	I-PERSON	1	2	J.	0
2	NNP	1	flat	3	Vitulli	E-PERSON	1	3	Vitulli	0
3	VBD	5	aux:pass	4	be	O	1	4	was	0
4	VBN	0	root	5	name	O	1	5	named	0
5	JJ	8	amod	6	senior	O	1	6	senior	0
6	NN	8	compound	7	vice	O	1	7	vice	0
7	NN	5	xcomp	8	president	O	1	8	president	0
8	CC	11	cc	9	and	O	1	9	and	0
9	JJ	11	amod	10	general	O	1	10	general	0
10	NN	8	conj	11	manager	O	1	11	manager	0
11	IN	18	case	12	of	O	1	12	of	0
12	DT	18	det	13	this	O	1	13	this	0
13	NNP	15	compound	14	U.S.	S-GPE	1	14	U.S.	0
14	NNS	18	compound	15	sale	O	1	15	sales	0
15	CC	17	cc	16	and	O	1	16	and	0
16	NN	15	conj	17	marketing	O	1	17	marketing	0
17	NN	11	nmod	18	arm	O	1	18	arm	0
18	IN	25	case	19	of	O	1	19	of	0
19	JJ	25	amod	20	japanese	S-NORP	1	20	Japanese	0
20	NNP	22	compound	21	auto	O	1	21	auto	0
21	NN	25	compound	22	maker	O	1	22	maker	0
22	NNP	25	compound	23	Mazda	B-ORG	1	23	Mazda	0
23	NNP	25	compound	24	Motor	I-ORG	1	24	Motor	0
24	NNP	18	nmod	25	Corp	E-ORG	1	25	Corp	0
25	.	5	punct	26	.	O	1	26	.	0
26	IN	4	case	27	in	O	2	1	In	0
27	DT	4	det	28	the	O	2	2	the	0
28	JJ	4	amod	29	new	O	2	3	new	0
29	NN	7	obl	30	position	O	2	4	position	0
30	PRP	7	nsubj	31	he	O	2	5	he	0
31	MD	7	aux	32	will	O	2	6	will	0
32	VB	0	root	33	oversee	O	2	7	oversee	0
33	NNP	11	nmod:poss	34	Mazda	S-ORG	2	8	Mazda	0
34	POS	8	case	35	's	O	2	9	's	0
35	NNP	11	compound	36	U.S.	S-GPE	2	10	U.S.	0
36	NNS	7	obj	37	sale	O	2	11	sales	0
37	,	13	punct	38	,	O	2	12	,	0
38	NN	11	conj	39	service	O	2	13	service	0
39	,	15	punct	40	,	O	2	14	,	0
40	NNS	11	conj	41	part	O	2	15	parts	0
41	CC	17	cc	42	and	O	2	16	and	0
42	NN	18	compound	43	marketing	O	2	17	marketing	0
43	NNS	11	conj	44	operation	O	2	18	operations	0
44	.	7	punct	45	.	O	2	19	.	0
45	RB	13	advmod	46	previously	O	3	1	Previously	0
46	,	13	punct	47	,	O	3	2	,	0
47	NNP	13	nsubj	48	Mr.	O	3	3	Mr.	0
48	NNP	3	flat	49	Vitulli	S-PERSON	3	4	Vitulli	0
49	,	3	punct	50	,	O	3	5	,	0
50	CD	7	nummod	51	43	B-DATE	3	6	43	0
51	NNS	8	obl:npmod	52	year	I-DATE	3	7	years	0
52	JJ	3	amod	53	old	E-DATE	3	8	old	0
53	,	13	punct	54	,	O	3	9	,	0
54	VBD	13	cop	55	be	O	3	10	was	0
55	JJ	13	amod	56	general	O	3	11	general	0
56	NN	13	compound	57	marketing	O	3	12	marketing	0
57	NN	0	root	58	manager	O	3	13	manager	0
58	IN	19	case	59	of	O	3	14	of	0
59	NNP	16	compound	60	Chrysler	B-ORG	3	15	Chrysler	0
60	NNP	19	nmod:poss	61	Corp.	I-ORG	3	16	Corp.	0
61	POS	16	case	62	's	E-ORG	3	17	's	0
62	NNP	19	compound	63	Chrysler	S-ORG	3	18	Chrysler	0
63	NN	13	nmod	64	division	O	3	19	division	0
64	.	13	punct	65	.	O	3	20	.	0
65	PRP	5	nsubj	66	he	O	4	1	He	0
66	VBD	5	aux	67	have	O	4	2	had	0
67	VBN	5	cop	68	be	O	4	3	been	0
68	DT	5	det	69	a	O	4	4	a	0
69	NNS	0	root	70	sale	O	4	5	sales	0
70	CC	8	cc	71	and	O	4	6	and	0
71	NN	8	compound	72	marketing	O	4	7	marketing	0
72	NN	5	conj	73	executive	O	4	8	executive	0
73	IN	10	case	74	with	O	4	9	with	0
74	NNP	5	nmod	75	Chrysler	S-ORG	4	10	Chrysler	0
75	IN	13	case	76	for	O	4	11	for	0
76	CD	13	nummod	77	20	B-DATE	4	12	20	0
77	NNS	5	obl	78	year	E-DATE	4	13	years	0
78	.	5	punct	79	.	O	4	14	.	0
