	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label
0	WRB	4	mark	1	when	O	1	1	When	0
1	PRP	4	nsubj	2	it	O	1	2	it	0
2	VBZ	4	cop	3	be	O	1	3	's	0
3	NN	16	advcl	4	time	O	1	4	time	0
4	IN	8	case	5	for	O	1	5	for	0
5	PRP$	8	nmod:poss	6	they	O	1	6	their	0
6	JJ	8	amod	7	biannual	S-DATE	1	7	biannual	0
7	NN	4	nmod	8	powwow	O	1	8	powwow	0
8	,	16	punct	9	,	O	1	9	,	0
9	DT	11	det	10	the	O	1	10	the	0
10	NN	14	nmod:poss	11	nation	O	1	11	nation	0
11	POS	11	case	12	's	O	1	12	's	0
12	NN	14	compound	13	manufacturing	O	1	13	manufacturing	0
13	NNS	16	nsubj	14	titan	O	1	14	titans	0
14	RB	16	advmod	15	typically	O	1	15	typically	0
15	VBP	0	root	16	jet	O	1	16	jet	0
16	RP	16	compound:prt	17	off	O	1	17	off	0
17	IN	21	case	18	to	O	1	18	to	0
18	DT	21	det	19	the	O	1	19	the	0
19	JJ	21	amod	20	sunny	O	1	20	sunny	0
20	NNS	16	obl	21	confines	O	1	21	confines	0
21	IN	24	case	22	of	O	1	22	of	0
22	NN	24	compound	23	resort	O	1	23	resort	0
23	NNS	21	nmod	24	town	O	1	24	towns	0
24	IN	27	case	25	like	O	1	25	like	0
25	NNP	27	compound	26	Boca	B-GPE	1	26	Boca	0
26	NNP	24	nmod	27	Raton	E-GPE	1	27	Raton	0
27	CC	30	cc	28	and	O	1	28	and	0
28	NNP	30	compound	29	Hot	B-GPE	1	29	Hot	0
29	NNPS	27	conj	30	Springs	E-GPE	1	30	Springs	0
30	.	16	punct	31	.	O	1	31	.	0
31	RB	3	advmod	32	not	O	2	1	Not	0
32	DT	3	det	33	this	B-DATE	2	2	this	0
33	NN	0	root	34	year	E-DATE	2	3	year	0
34	.	3	punct	35	.	O	2	4	.	0
35	DT	3	det	36	the	B-ORG	3	1	The	0
36	NNP	3	compound	37	National	I-ORG	3	2	National	0
