	POS	dependency_head	dependency_label	doc_token_number	lemma	ne_info	sentence_number	sentence_token_number	token	cue_label	attribution
0	VBZ	0	root	1	yield	O	1	1	Yields	0	_ _ _ _ _ _
1	IN	5	case	2	on	O	1	2	on	0	_ _ _ _ _ _
2	JJ	5	amod	3	money-market	O	1	3	money-market	0	_ _ _ _ _ _
3	JJ	5	amod	4	mutual	O	1	4	mutual	0	_ _ _ _ _ _
4	NNS	1	obl	5	fund	O	1	5	funds	0	_ _ _ _ _ _
5	VBN	5	acl	6	continue	O	1	6	continued	0	_ _ _ _ _ _
6	TO	8	mark	7	to	O	1	7	to	0	_ _ _ _ _ _
7	VB	6	xcomp	8	slide	O	1	8	slide	0	_ _ _ _ _ _
8	,	1	punct	9	,	O	1	9	,	0	_ _ _ _ _ _
9	IN	11	case	10	amid	O	1	10	amid	0	_ _ _ _ _ _
10	NNS	1	obl	11	sign	O	1	11	signs	0	_ _ _ _ _ _
11	IN	15	mark	12	that	O	1	12	that	0	_ _ _ _ _ _
12	NN	14	compound	13	portfolio	O	1	13	portfolio	0	_ _ _ _ _ B-SOURCE-AT-2
13	NNS	15	nsubj	14	manager	O	1	14	managers	0	_ _ _ _ _ I-SOURCE-AT-2
14	VBP	11	acl	15	expect	O	1	15	expect	1	_ _ _ _ _ B-CUE-AT-2
15	JJ	17	amod	16	further	O	1	16	further	0	_ _ _ _ _ B-CONTENT-AT-2
16	NNS	15	obj	17	decline	O	1	17	declines	0	_ _ _ _ _ I-CONTENT-AT-2
17	IN	20	case	18	in	O	1	18	in	0	_ _ _ _ _ I-CONTENT-AT-2
18	NN	20	compound	19	interest	O	1	19	interest	0	_ _ _ _ _ I-CONTENT-AT-2
19	NNS	17	nmod	20	rate	O	1	20	rates	0	_ _ _ _ _ I-CONTENT-AT-2
20	.	1	punct	21	.	O	1	21	.	0	_ _ _ _ _ _
21	DT	5	det	22	the	O	2	1	The	0	_ _ _ _ _ _
22	JJ	5	amod	23	average	O	2	2	average	0	_ _ _ _ _ _
23	JJ	5	amod	24	seven-day	S-DATE	2	3	seven-day	0	_ _ _ _ _ _
24	NN	5	compound	25	compound	O	2	4	compound	0	_ _ _ _ _ _
25	NN	18	nsubj	26	yield	O	2	5	yield	0	_ _ _ _ _ _
26	IN	10	case	27	of	O	2	6	of	0	_ _ _ _ _ _
27	DT	10	det	28	the	O	2	7	the	0	_ _ _ _ _ _
28	CD	10	nummod	29	400	S-CARDINAL	2	8	400	0	_ _ _ _ _ _
29	NN	10	compound	30	taxable	O	2	9	taxable	0	_ _ _ _ _ _
30	NNS	5	nmod	31	fund	O	2	10	funds	0	_ _ _ _ _ _
31	VBN	10	acl	32	track	O	2	11	tracked	0	_ _ _ _ _ _
32	IN	17	case	33	by	O	2	12	by	0	_ _ _ _ _ _
33	NNP	17	nmod:poss	34	IBC/Donoghue	S-ORG	2	13	IBC/Donoghue	0	_ _ _ _ _ _
34	POS	13	case	35	's	O	2	14	's	0	_ _ _ _ _ _
35	NNP	17	compound	36	money	O	2	15	Money	0	_ _ _ _ _ _
36	NNP	17	compound	37	Fund	O	2	16	Fund	0	_ _ _ _ _ _
37	NNP	11	obl	38	report	O	2	17	Report	0	_ _ _ _ _ _
38	VBD	0	root	39	ease	O	2	18	eased	0	_ _ _ _ _ _
39	DT	20	det	40	a	O	2	19	a	0	_ _ _ _ _ _
40	NN	18	obj	41	fraction	O	2	20	fraction	0	_ _ _ _ _ _
41	IN	24	case	42	of	O	2	21	of	0	_ _ _ _ _ _
42	DT	24	det	43	a	O	2	22	a	0	_ _ _ _ _ _
43	NN	24	compound	44	percentage	O	2	23	percentage	0	_ _ _ _ _ _
44	NN	20	nmod	45	point	O	2	24	point	0	_ _ _ _ _ _
45	IN	27	case	46	to	O	2	25	to	0	_ _ _ _ _ _
46	CD	27	nummod	47	8.45	B-PERCENT	2	26	8.45	0	_ _ _ _ _ _
47	NN	30	compound	48	%	E-PERCENT	2	27	%	0	_ _ _ _ _ _
48	IN	30	case	49	from	O	2	28	from	0	_ _ _ _ _ _
49	CD	30	nummod	50	8.47	B-PERCENT	2	29	8.47	0	_ _ _ _ _ _
50	NN	24	nmod	51	%	E-PERCENT	2	30	%	0	_ _ _ _ _ _
51	IN	33	case	52	for	O	2	31	for	0	_ _ _ _ _ _
52	DT	33	det	53	the	B-DATE	2	32	the	0	_ _ _ _ _ _
53	NN	30	nmod	54	week	I-DATE	2	33	week	0	_ _ _ _ _ _
54	VBD	18	advcl	55	end	I-DATE	2	34	ended	0	_ _ _ _ _ _
55	NNP	34	obl:tmod	56	Tuesday	E-DATE	2	35	Tuesday	0	_ _ _ _ _ _
56	.	18	punct	57	.	O	2	36	.	0	_ _ _ _ _ _
57	NN	2	compound	58	compound	O	3	1	Compound	0	_ _ _ _ _ _
58	NNS	3	nsubj	59	yield	O	3	2	yields	0	_ _ _ _ _ _
59	VBP	0	root	60	assume	O	3	3	assume	0	_ _ _ _ _ _
60	NN	3	obj	61	reinvestment	O	3	4	reinvestment	0	_ _ _ _ _ _
61	IN	6	case	62	of	O	3	5	of	0	_ _ _ _ _ _
62	NNS	4	nmod	63	dividend	O	3	6	dividends	0	_ _ _ _ _ _
63	CC	12	cc	64	and	O	3	7	and	0	_ _ _ _ _ _
64	IN	12	mark	65	that	O	3	8	that	0	_ _ _ _ _ _
65	DT	11	det	66	the	O	3	9	the	0	_ _ _ _ _ _
66	JJ	11	amod	67	current	O	3	10	current	0	_ _ _ _ _ _
67	NN	12	nsubj	68	yield	O	3	11	yield	0	_ _ _ _ _ _
68	VBZ	3	conj	69	continue	O	3	12	continues	0	_ _ _ _ _ _
69	IN	15	case	70	for	O	3	13	for	0	_ _ _ _ _ _
70	DT	15	det	71	a	B-DATE	3	14	a	0	_ _ _ _ _ _
71	NN	12	obl	72	year	E-DATE	3	15	year	0	_ _ _ _ _ _
72	.	3	punct	73	.	O	3	16	.	0	_ _ _ _ _ _
73	JJ	2	amod	74	average	O	4	1	Average	0	B-CONTENT-AT-1 _ _ _ _ _
74	NN	0	root	75	maturity	O	4	2	maturity	0	I-CONTENT-AT-1 _ _ _ _ _
75	IN	7	case	76	of	O	4	3	of	0	I-CONTENT-AT-1 _ _ _ _ _
76	DT	5	det	77	the	O	4	4	the	0	I-CONTENT-AT-1 _ _ _ _ _
77	NNS	7	nmod:poss	78	fund	O	4	5	funds	0	I-CONTENT-AT-1 _ _ _ _ _
78	POS	5	case	79	's	O	4	6	'	0	I-CONTENT-AT-1 _ _ _ _ _
79	NNS	2	nmod	80	investment	O	4	7	investments	0	I-CONTENT-AT-1 _ _ _ _ _
80	VBN	7	acl	81	lengthen	O	4	8	lengthened	0	I-CONTENT-AT-1 _ _ _ _ _
81	IN	14	case	82	by	O	4	9	by	0	I-CONTENT-AT-1 _ _ _ _ _
82	DT	14	det	83	a	B-DATE	4	10	a	0	I-CONTENT-AT-1 _ _ _ _ _
83	NN	14	compound	84	day	I-DATE	4	11	day	0	I-CONTENT-AT-1 _ _ _ _ _
84	IN	13	case	85	to	I-DATE	4	12	to	0	I-CONTENT-AT-1 _ _ _ _ _
85	CD	11	nmod	86	41	I-DATE	4	13	41	0	I-CONTENT-AT-1 _ _ _ _ _
86	NNS	8	obl	87	day	E-DATE	4	14	days	0	I-CONTENT-AT-1 _ _ _ _ _
87	,	2	punct	88	,	O	4	15	,	0	I-CONTENT-AT-1 _ _ _ _ _
88	DT	17	det	89	the	O	4	16	the	0	I-CONTENT-AT-1 _ _ _ _ _
89	JJS	2	appos	90	longest	O	4	17	longest	0	I-CONTENT-AT-1 _ _ _ _ _
90	IN	20	case	91	since	O	4	18	since	0	I-CONTENT-AT-1 _ _ _ _ _
91	JJ	20	amod	92	early	B-DATE	4	19	early	0	I-CONTENT-AT-1 _ _ _ _ _
92	NNP	17	obl	93	August	E-DATE	4	20	August	0	I-CONTENT-AT-1 _ _ _ _ _
93	,	17	punct	94	,	O	4	21	,	0	_ _ _ _ _ _
94	VBG	24	case	95	accord	O	4	22	according	0	B-CUE-AT-1 _ _ _ _ _
95	IN	22	fixed	96	to	O	4	23	to	1	I-CUE-AT-1 _ _ _ _ _
96	NNP	17	obl	97	Donoghue	S-ORG	4	24	Donoghue	0	B-SOURCE-AT-1 _ _ _ _ _
97	POS	24	case	98	's	O	4	25	's	0	I-SOURCE-AT-1 _ _ _ _ _
98	.	2	punct	99	.	O	4	26	.	0	_ _ _ _ _ _
99	JJR	2	amod	100	longer	O	5	1	Longer	0	_ _ _ _ _ _
100	NNS	4	nsubj:pass	101	maturity	O	5	2	maturities	0	_ _ _ _ _ _
101	VBP	4	aux:pass	102	be	O	5	3	are	0	_ _ _ B-CUE-PD-0 _ _
102	VBN	0	root	103	think	O	5	4	thought	1	_ _ _ I-CUE-PD-0 _ _
103	TO	6	mark	104	to	O	5	5	to	0	_ _ _ B-CONTENT-PD-0 _ _
104	VB	4	xcomp	105	indicate	O	5	6	indicate	0	_ _ _ I-CONTENT-PD-0 _ _
105	VBG	6	xcomp	106	decline	O	5	7	declining	0	_ _ _ I-CONTENT-PD-0 _ _
106	NN	9	compound	107	interest	O	5	8	interest	0	_ _ _ I-CONTENT-PD-0 _ _
107	NNS	7	obj	108	rate	O	5	9	rates	0	_ _ _ I-CONTENT-PD-0 _ _
108	IN	12	mark	109	because	O	5	10	because	0	_ _ _ I-CONTENT-PD-0 _ _
109	PRP	12	nsubj	110	they	O	5	11	they	0	_ _ _ I-CONTENT-PD-0 _ _
110	VBP	6	advcl	111	permit	O	5	12	permit	0	_ _ _ I-CONTENT-PD-0 _ _
111	NN	14	compound	112	portfolio	O	5	13	portfolio	0	_ _ _ I-CONTENT-PD-0 _ _
112	NNS	12	obj	113	manager	O	5	14	managers	0	_ _ _ I-CONTENT-PD-0 _ _
113	TO	16	mark	114	to	O	5	15	to	0	_ _ _ I-CONTENT-PD-0 _ _
114	VB	12	xcomp	115	retain	O	5	16	retain	0	_ _ _ I-CONTENT-PD-0 _ _
115	RB	18	advmod	116	relatively	O	5	17	relatively	0	_ _ _ I-CONTENT-PD-0 _ _
116	JJR	19	amod	117	higher	O	5	18	higher	0	_ _ _ I-CONTENT-PD-0 _ _
